# Netscape HTTP Cookie File
www.google.com	FALSE	/recaptcha	TRUE	13432209792321003	_GRECAPTCHA	
.chromewebstore.google.com	TRUE	/	FALSE	13457595780727868	_ga_KHZNC1Q6K0	
drive.google.com	FALSE	/	TRUE	13457683318105497	OSID	
drive.google.com	FALSE	/	TRUE	13457683318105684	__Secure-OSID	
accounts.google.com	FALSE	/	TRUE	13457692444156699	LSID	
lens.google.com	FALSE	/	TRUE	13457692444378806	OSID	
.google.com	TRUE	/	FALSE	13438684445671461	SEARCH_SAMESITE	
accounts.google.com	FALSE	/	TRUE	13457692444156791	__Host-1PLSID	
accounts.google.com	FALSE	/	TRUE	13457692444156875	__Host-3PLSID	
lens.google.com	FALSE	/	TRUE	13457692444379117	__Secure-OSID	
.docs.google.com	TRUE	/	TRUE	13457765895302947	OSID	
.docs.google.com	TRUE	/	TRUE	13457765895303002	__Secure-OSID	
.youtube.com	TRUE	/	TRUE	13439130509023113	__Secure-ROLLOUT_TOKEN	
.youtube.com	TRUE	/	TRUE	13439130510175030	__Secure-YNID	
.youtube.com	TRUE	/	TRUE	13439131847682478	VISITOR_INFO1_LIVE	
.youtube.com	TRUE	/	TRUE	13439131847682678	VISITOR_PRIVACY_METADATA	
.youtube.com	TRUE	/	TRUE	13458139851913764	PREF	
.youtube.com	TRUE	/	TRUE	13455115855096063	__Secure-1PSIDTS	
.youtube.com	TRUE	/	TRUE	13455115855096714	__Secure-3PSIDTS	
.youtube.com	TRUE	/	TRUE	13439191490907300	__Secure-ROLLOUT_TOKEN	
.youtube.com	TRUE	/	TRUE	13439131831906983	__Secure-YNID	
.youtube.com	TRUE	/	TRUE	13439199889235290	VISITOR_INFO1_LIVE	
.youtube.com	TRUE	/	TRUE	13439199889235383	VISITOR_PRIVACY_METADATA	
.google.com	TRUE	/	TRUE	13432210183424003	AEC	
work.fife.usercontent.google.com	FALSE	/	TRUE	13424526690199765	COMPASS	
.youtube.com	TRUE	/	TRUE	13455199665759887	__Secure-3PSIDCC	
.youtube.com	TRUE	/	TRUE	13439215665759760	VISITOR_INFO1_LIVE	
.youtube.com	TRUE	/	TRUE	13439215665759838	VISITOR_PRIVACY_METADATA	
.youtube.com	TRUE	/	TRUE	13439215665089959	__Secure-ROLLOUT_TOKEN	
.youtube.com	TRUE	/	TRUE	13439215665089755	__Secure-YNID	
appsgenaiserver-pa.clients6.google.com	FALSE	/	TRUE	13424588478853705	COMPASS	
mail.google.com	FALSE	/mail/u/0	TRUE	13424588493207014	COMPASS	
mail.google.com	FALSE	/mail/u/0	TRUE	0	GMAIL_AT	
mail.google.com	FALSE	/sync/u/0	TRUE	13424589522834989	COMPASS	
.google.com	TRUE	/verify	TRUE	13439454915933758	SNID	
accounts.google.com	FALSE	/	TRUE	13426320207000000	OTZ	
accounts.google.com	FALSE	/	TRUE	13458288205908413	__Host-GAPS	
mail.google.com	FALSE	/	TRUE	13424594215828674	COMPASS	
mail.google.com	FALSE	/mail	TRUE	13424594230224252	COMPASS	
mail.google.com	FALSE	/	TRUE	0	__Host-GMAIL_SCH	
.gemini.google.com	TRUE	/	TRUE	13424594988656114	COMPASS	
.google.com	TRUE	/	TRUE	13439548797847040	NID	
.google.com	TRUE	/	TRUE	13455282147297360	__Secure-1PSIDTS	
.google.com	TRUE	/	TRUE	13455282147297711	__Secure-3PSIDTS	
.google.com	TRUE	/	FALSE	13455282357182647	SIDCC	
.google.com	TRUE	/	TRUE	13455282357182777	__Secure-1PSIDCC	
.google.com	TRUE	/	TRUE	13455282357182911	__Secure-3PSIDCC	
